timestamp,action,expiry,confidence,ID
2026-08-21 20:05:05+00:00,WAIT,1,45,GBPUSDOTC0821200505
2026-08-21 20:05:08+00:00,CALL,2,75,GBPUSDOTC0821200508
2026-08-21 20:08:03+00:00,WAIT,1,45,GBPUSDOTC0821200803
2026-08-21 20:09:01+00:00,WAIT,1,45,GBPUSDOTC0821200901
2026-08-21 20:10:02+00:00,PUT,2,82,GBPUSDOTC0821201002
2026-08-21 20:12:01+00:00,WAIT,1,45,GBPUSDOTC0821201201
2026-08-21 20:13:01+00:00,WAIT,1,45,GBPUSDOTC0821201301
2026-08-21 20:16:03+00:00,WAIT,3,45,GBPUSDOTC0821201603
2026-08-21 20:16:05+00:00,PUT,2,75,GBPUSDOTC0821201605
2026-08-21 20:17:03+00:00,WAIT,1,45,GBPUSDOTC0821201703
