2026-06-25 21:42:16,887 | INFO     | กำลังเชื่อมต่อ IQ Option...
2026-06-25 21:42:16,940 | INFO     | [CONN] Connecting to IQ Option (PRACTICE) as venuz20152565@gmail.com...
2026-06-25 21:42:20,750 | INFO     | [CONN] IQ Option connected (DEMO)
2026-06-25 21:42:20,792 | INFO     | เชื่อมต่อ IQ Option สำเร็จ..
2026-06-25 21:42:20,793 | INFO     | [OK] Executor reusing IQ Option connection from adapter
2026-06-25 21:42:21,531 | INFO     | บัญชี PRACTICE | Balance: $2050.40
2026-06-25 21:42:21,531 | WARNING  | Failed to get server time offset: 'IQ_Option' object has no attribute 'get_server_time'
2026-06-25 21:42:21,533 | INFO     | DeepSeek Agent found at: C:\Users\BUSOLOVE\AppData\Roaming\npm\deepseek-agent.CMD
2026-06-25 21:42:21,543 | INFO     | Trading Mode: AI AUTO_BOT
2026-06-25 21:42:21,550 | INFO     | ตรวจเช็คความพร้อม DEEPSEEK AI
2026-06-25 21:43:36,562 | ERROR    | AI Readiness check failed: Command '['C:\\Users\\BUSOLOVE\\AppData\\Roaming\\npm\\deepseek-agent.CMD', '--headless', '--no-tui', '--max-iterations=1', 'System check. Briefly introduce yourself (including your AI model name) and state you are ready to analyze the market. Reply in a single short line in English.']' timed out after 75 seconds
2026-06-25 21:43:36,567 | INFO     | Failed to connect to AI. System stopped.
