timestamp,symbol,action,expiry,confidence
2026-08-20 05:46:06,GBPAUD-OTC,PUT,2,85
2026-08-20 05:47:05,GBPAUD-OTC,PUT,3,85
2026-08-20 05:48:05,GBPAUD-OTC,PUT,2,85
2026-08-20 05:49:41,GBPAUD-OTC,PUT,2,78
2026-08-20 05:55:42,GBPAUD-OTC,CALL,2,85
2026-08-20 05:59:06,GBPAUD-OTC,WAIT,1,45
2026-08-20 06:00:06,GBPAUD-OTC,PUT,2,85
2026-08-20 06:01:06,GBPAUD-OTC,PUT,2,85
2026-08-20 06:02:06,GBPAUD-OTC,PUT,2,85
2026-08-20 06:03:25,GBPAUD-OTC,PUT,2,85
2026-08-20 06:05:51,GBPAUD-OTC,PUT,2,85
2026-08-20 06:15:04,GBPAUD-OTC,PUT,2,85
2026-08-20 06:16:03,GBPAUD-OTC,PUT,2,75
2026-08-20 06:17:04,GBPAUD-OTC,PUT,2,85
2026-08-20 06:18:09,GBPAUD-OTC,PUT,2,75
2026-08-20 06:19:19,GBPAUD-OTC,PUT,2,82
2026-08-20 06:22:09,GBPAUD-OTC,PUT,2,85
2026-08-20 06:33:19,GBPAUD-OTC,PUT,3,85
2026-08-20 06:41:03,GBPAUD-OTC,WAIT,1,45
2026-08-20 06:42:04,GBPAUD-OTC,WAIT,1,45
2026-08-20 06:43:03,GBPAUD-OTC,WAIT,1,45
2026-08-20 06:44:06,GBPAUD-OTC,WAIT,1,45
2026-08-20 06:45:07,GBPAUD-OTC,WAIT,1,45
2026-08-20 06:46:06,GBPAUD-OTC,WAIT,1,45
2026-08-20 06:47:06,GBPAUD-OTC,WAIT,2,45
2026-08-20 06:48:29,GBPAUD-OTC,WAIT,2,45
2026-08-20 06:50:01,GBPAUD-OTC,WAIT,1,45
2026-08-20 06:52:53,GBPAUD-OTC,WAIT,1,40
