timestamp,action,expiry,confidence,ID
2026-08-20 16:16:03+00:00,WAIT,1,45,EURGBP0820161603
2026-08-20 16:28:03+00:00,WAIT,1,45,EURGBP0820162803
2026-08-20 16:52:03+00:00,WAIT,1,45,EURGBP0820165203
2026-08-20 16:53:06+00:00,WAIT,1,45,EURGBP0820165306
2026-08-20 16:54:06+00:00,WAIT,1,45,EURGBP0820165406
2026-08-20 16:55:14+00:00,WAIT,1,45,EURGBP0820165514
2026-08-20 16:56:16+00:00,WAIT,1,45,EURGBP0820165616
2026-08-20 16:57:30+00:00,WAIT,2,40,EURGBP0820165730
2026-08-20 16:58:26+00:00,WAIT,1,45,EURGBP0820165826
2026-08-20 16:59:39+00:00,WAIT,1,45,EURGBP0820165939
2026-08-20 17:00:28+00:00,WAIT,1,45,EURGBP0820170028
2026-08-20 17:01:48+00:00,WAIT,1,40,EURGBP0820170148
2026-08-20 17:02:43+00:00,WAIT,1,40,EURGBP0820170243
2026-08-20 17:03:57+00:00,WAIT,2,40,EURGBP0820170357
2026-08-20 17:06:13+00:00,PUT,2,75,EURGBP0820170613
2026-08-20 17:08:17+00:00,WAIT,1,45,EURGBP0820170817
2026-08-20 17:10:25+00:00,CALL,2,75,EURGBP0820171025
2026-08-20 17:13:19+00:00,PUT,2,75,EURGBP0820171319
2026-08-20 17:17:15+00:00,CALL,2,75,EURGBP0820171715
2026-08-20 17:22:19+00:00,CALL,2,78,EURGBP0820172219
2026-08-20 17:28:42+00:00,CALL,2,78,EURGBP0820172842
2026-08-20 17:36:42+00:00,CALL,2,75,EURGBP0820173642
2026-08-20 17:47:20+00:00,CALL,2,82,EURGBP0820174720
2026-08-20 17:57:42+00:00,CALL,2,78,EURGBP0820175742
2026-08-20 18:06:15+00:00,CALL,2,82,EURGBP0820180615
2026-08-20 18:10:03+00:00,CALL,2,75,EURGBP0820181003
2026-08-20 18:11:16+00:00,WAIT,1,35,EURGBP0820181116
2026-08-20 18:12:21+00:00,CALL,2,75,EURGBP0820181221
2026-08-20 18:13:47+00:00,CALL,2,65,EURGBP0820181347
2026-08-20 18:14:59+00:00,WAIT,1,35,EURGBP0820181459
2026-08-20 18:25:29+00:00,WAIT,1,45,EURGBP0820182529
